央视频道,#genre#
河北卫视,http://183.128.146.235:8000/udp/233.50.201.140:5140
河北卫视,http://125.123.144.144:4022/udp/233.50.201.140:5140
河北卫视,http://125.119.112.63:8000/udp/233.50.201.140:5140
河北卫视,http://121.235.33.113:12345/udp/239.49.8.188:6000
河北卫视,http://114.228.193.151:4022/udp/239.49.8.188:6000
河北卫视,http://121.226.125.49:7777/udp/239.49.8.188:6000
河北卫视,http://123.160.172.130:8800/rtp/239.16.20.88:10880
河北卫视,http://1.193.56.43:8800/rtp/239.16.20.88:10880
河北卫视,http://121.29.84.237:5000/rtp/239.253.92.154:6011
河北卫视,http://121.20.207.185:9999/rtp/239.253.92.154:6011
河南卫视,http://171.213.197.33:4022/udp/239.93.42.45:5140
河南卫视,http://171.213.203.2:4022/udp/239.93.42.45:5140
河南卫视,http://171.213.196.239:4022/udp/239.93.42.45:5140
河南卫视,http://171.83.144.74:6868/rtp/239.69.1.168:10644
河南卫视,http://221.234.221.30:4022/rtp/239.69.1.168:10644
河南卫视,http://27.28.196.115:4022/rtp/239.69.1.168:10644
河南卫视,http://183.128.146.235:8000/udp/233.50.201.144:5140
河南卫视,http://125.123.144.144:4022/udp/233.50.201.144:5140
河南卫视,http://125.119.112.63:8000/udp/233.50.201.144:5140
河南卫视,http://123.160.172.130:8800/rtp/239.16.20.21:10210
河南卫视,http://1.193.56.43:8800/rtp/239.16.20.21:10210
河南卫视,http://121.29.84.237:5000/rtp/239.253.92.137:6144
河南卫视,http://121.20.207.185:9999/rtp/239.253.92.137:6144
黑龙江卫视,http://114.254.147.3:23234/rtp/239.3.1.133:8016
黑龙江卫视,http://114.254.32.8:8888/rtp/239.3.1.133:8016
黑龙江卫视,http://114.254.80.199:8888/rtp/239.3.1.133:8016
黑龙江卫视,http://171.213.197.33:4022/udp/239.93.0.183:5140
黑龙江卫视,http://171.213.203.2:4022/udp/239.93.0.183:5140
黑龙江卫视,http://171.213.196.239:4022/udp/239.93.0.183:5140
黑龙江卫视,http://27.46.65.9:17088/udp/239.0.1.86:8016
黑龙江卫视,http://171.83.144.74:6868/rtp/239.254.96.138:8902
黑龙江卫视,http://221.234.221.30:4022/rtp/239.254.96.138:8902
黑龙江卫视,http://27.28.196.115:4022/rtp/239.254.96.138:8902
黑龙江卫视,http://183.128.146.235:8000/udp/233.50.201.115:5140
黑龙江卫视,http://125.123.144.144:4022/udp/233.50.201.115:5140
黑龙江卫视,http://125.119.112.63:8000/udp/233.50.201.115:5140
黑龙江卫视,http://121.235.33.113:12345/udp/239.49.8.14:9426
黑龙江卫视,http://114.228.193.151:4022/udp/239.49.8.14:9426
黑龙江卫视,http://121.226.125.49:7777/udp/239.49.8.14:9426
